"Source:","D:\Projekty\FAMO\current3Av2\current3Av2.sch"
"Date:","03.01.2023 12:33:08"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","241"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comm","Vendor"
"","","5V1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","8V1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","12V1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","15V1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","C1","1n C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C2","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C3","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C4","2200u 16V 105°C ","Device:CP","Capacitors_THT:CP_Radial_D14.0mm_P5.00mm","~",">5000h Ø13x25mm P=5mm",""
"","","C5","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C6","470n 100V X7R","Device:C","Capacitors_SMD:C_0805","~","",""
"","","C7","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C8","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C9","2200u 16V 105°C ","Device:CP","Capacitors_THT:CP_Radial_D14.0mm_P5.00mm","~",">5000h Ø13x25mm P=5mm",""
"","","C10","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C11","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C12","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C13","100p C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C14","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C15","1n C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C16","470n 100V X7R","Device:C","Capacitors_SMD:C_0805","~","",""
"","","C17","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C18","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C19","100u 16V","Device:CP","Capacitors_Tantalum_SMD:CP_Tantalum_Case-D_EIA-7343-31_Reflow","~","tantal, case D",""
"","","C20","GRM32ER71H106KA12L","Device:C","Capacitors_SMD:C_1210","~","10u 50V X7R Murata",""
"","","C21","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C22","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C23","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C24","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C25","2200u 16V 105°C ","Device:CP","Capacitors_THT:CP_Radial_D14.0mm_P5.00mm","~",">5000h Ø13x25mm P=5mm",""
